name,default,description,label,software
certfile,/etc/keystone/ssl/certs/signing_cert.pem,"Absolute path to the public certificate file to use for signing responses to revocation lists requests. Set this together with [signing] keyfile. For non-production environments, you may be interested in using keystone-manage pki_setup to generate self-signed certificates.",security,keystone
keyfile,/etc/keystone/ssl/private/signing_key.pem,Absolute path to the private key file to use for signing responses to revocation lists requests. Set this together with [signing] certfile.,environment,keystone
ca_certs,/etc/keystone/ssl/certs/ca.pem,Absolute path to the public certificate authority (CA) file to use when creating self-signed certificates with keystone-manage pki_setup. Set this together with [signing] ca_key. There is no reason to set this option unless you are requesting revocation lists in a non-production environment. Use a [signing] certfile issued from a trusted certificate authority instead.,security,keystone
ca_key,/etc/keystone/ssl/private/cakey.pem,Absolute path to the private certificate authority (CA) key file to use when creating self-signed certificates with keystone-manage pki_setup. Set this together with [signing] ca_certs. There is no reason to set this option unless you are requesting revocation lists in a non-production environment. Use a [signing] certfile issued from a trusted certificate authority instead.,security,keystone
key_size,2048,Key size (in bits) to use when generating a self-signed token signing certificate. There is no reason to set this option unless you are  requesting revocation lists in a non-production environment. Use a [signing] certfile issued from a trusted certificate authority instead.,security,keystone
valid_days,3650,The validity period (in days) to use when generating a self-signed  token signing certificate. There is no reason to set this option unless  you are requesting revocation lists in a non-production environment. Use a [signing] certfile issued from a trusted certificate authority instead.,reliability,keystone
cert_subject,/C=US/ST=Unset/L=Unset/O=Unset/CN=www.example.com,The certificate subject to use when generating a self-signed token  signing certificate. There is no reason to set this option unless you  are requesting revocation lists in a non-production environment. Use a [signing] certfile issued from a trusted certificate authority instead.,security,keystone
expiration,3600,"The amount of time that a token should remain valid (in seconds).  Drastically reducing this value may break 'long-running' operations that involve multiple services to coordinate together, and will force users  to authenticate with keystone more frequently. Drastically increasing  this value will increase the number of tokens that will be  simultaneously valid. Keystone tokens are also bearer tokens, so a  shorter duration will also reduce the potential security impact of a  compromised token.",reliability,keystone
provider,fernet,"Entry point for the token provider in the keystone.token.provider namespace. The token provider controls the token construction,  validation, and revocation operations. Supported upstream providers are fernet and jws. Neither fernet or jws tokens require persistence and both require additional setup. If using fernet, you're required to run keystone-manage fernet_setup, which creates symmetric keys used to encrypt tokens. If using jws, you're required to generate an ECDSA keypair using a SHA-256 hash  algorithm for signing and validating token, which can be done with keystone-manage create_jws_keypair. Note that fernet tokens are encrypted and jws tokens are only signed. Please be sure to consider this if your  deployment has security requirements regarding payload contents used to  generate token IDs.",security,keystone
caching,TRUE,Toggle for caching token creation and validation data. This has no effect unless global caching is enabled.,performance,keystone
cache_time,<None>,The number of seconds to cache token creation and validation data. This has no effect unless both global and [token] caching are enabled.,performance,keystone
revoke_by_id,TRUE,This toggles support for revoking individual tokens by the token  identifier and thus various token enumeration operations (such as  listing all tokens issued to a specific user). These operations are used to determine the list of tokens to consider revoked. Do not disable  this option if you're using the kvs [revoke] driver.,security,keystone
allow_rescope_scoped_token,TRUE,"This toggles whether scoped tokens may be re-scoped to a new project  or domain, thereby preventing users from exchanging a scoped token  (including those with a default project scope) for any other token. This forces users to either authenticate for unscoped tokens (and later  exchange that unscoped token for tokens with a more specific scope) or  to provide their credentials in every request for a scoped token to  avoid re-scoping altogether.",security,keystone
infer_roles,TRUE,"This controls whether roles should be included with tokens that are  not directly assigned to the token's scope, but are instead linked  implicitly to other role assignments.",security,keystone
cache_on_issue,TRUE,Enable storing issued token data to token validation cache so that  first token validation doesn't actually cause full validation cycle.  This option has no effect unless global caching is enabled and will  still cache tokens even if [token] caching = False.,performance,keystone
allow_expired_window,172800,This controls the number of seconds that a token can be retrieved for beyond the built-in expiry time. This allows long running operations to succeed. Defaults to two days.,reliability,keystone
trusted_issuer,'',"The list of distinguished names which identify trusted issuers of  client certificates allowed to use X.509 tokenless authorization. If the option is absent then no certificates will be allowed. The format for  the values of a distinguished name (DN) must be separated by a comma and contain no spaces. Furthermore, because an individual DN may contain  commas, this configuration option may be repeated multiple times to  represent multiple values. For example, keystone.conf would include two  consecutive lines in order to trust two different DNs, such as trusted_issuer = CN=john,OU=keystone,O=openstack and trusted_issuer = CN=mary,OU=eng,O=abc.",security,keystone
protocol,x509,"The federated protocol ID used to represent X.509 tokenless authorization. This is used in combination with the value of [tokenless_auth] issuer_attribute to find a corresponding federated mapping. In a typical deployment, there is no reason to change this value.",security,keystone
issuer_attribute,SSL_CLIENT_I_DN,"The name of the WSGI environment variable used to pass the issuer of  the client certificate to keystone. This attribute is used as an  identity provider ID for the X.509 tokenless authorization along with  the protocol to look up its corresponding mapping. In a typical  deployment, there is no reason to change this value.",environment,keystone
allow_redelegation,FALSE,"Allows authorization to be redelegated from one user to another, effectively chaining trusts together. When disabled, the remaining_uses attribute of a trust is constrained to be zero.",security,keystone
max_redelegation_count,3,Maximum number of times that authorization can be redelegated from  one user to another in a chain of trusts. This number may be reduced  further for a specific trust.,reliability,keystone
driver,sql,"Entry point for the trust backend driver in the keystone.trust namespace. Keystone only provides a sql driver, so there is no reason to change this unless you are providing a custom entry point.",environment,keystone
driver,sql,"Entry point for the unified limit backend driver in the keystone.unified_limit namespace. Keystone only provides a sql driver, so there's no reason to change this unless you are providing a custom entry point.",environment,keystone
caching,TRUE,"Toggle for unified limit caching. This has no effect unless global  caching is enabled. In a typical deployment, there is no reason to  disable this.",performance,keystone
cache_time,<None>,"Time to cache unified limit data, in seconds. This has no effect unless both global caching and [unified_limit] caching are enabled.",performance,keystone
list_limit,<None>,Maximum number of entities that will be returned in a role  collection. This may be useful to tune if you have a large number of  unified limits in your deployment.,performance,keystone
enforcement_model,flat,"The enforcement model to use when validating limits associated to  projects. Enforcement models will behave differently depending on the  existing limits, which may result in backwards incompatible changes if a model is switched in a running deployment.",performance,keystone
debug_middleware,FALSE,"If set to true, this enables the oslo debug middleware in Keystone.  This Middleware prints a lot of information about the request and the  response. It is useful for getting information about the data on the  wire (decoded) and passed to the WSGI application pipeline. This  middleware has no effect on the 'debug' setting in the [DEFAULT] section of the config file or setting Keystone's log-level to 'DEBUG'; it is  specific to debugging the WSGI data as it enters and leaves Keystone  (specific request-related data). This option is used for introspection  on the request and response data between the web server (apache, nginx,  etc) and Keystone.  This middleware is inserted as the first element in  the middleware chain and will show the data closest to the wire.   WARNING: NOT INTENDED FOR USE IN PRODUCTION. THIS MIDDLEWARE CAN AND  WILL EMIT SENSITIVE/PRIVILEGED DATA.",debuggability,keystone
