name,default,description,label,software
remote_ssl_ca_crt_file,<None>,Absolute path to ca cert file for REST based policy check,environment,ironic
remote_ssl_client_crt_file,<None>,Absolute path to client cert for REST based policy check,environment,ironic
remote_ssl_client_key_file,<None>,Absolute path client key file REST based policy check,environment,ironic
enabled,FALSE,Enable the profiling for all services on this node.,debuggability,ironic
trace_sqlalchemy,FALSE,Enable SQL requests profiling in services.,debuggability,ironic
hmac_keys,SECRET_KEY,Secret key(s) to use for encrypting context data for performance profiling.,security,ironic
connection_string,messaging://,Connection string for a notifier backend.,others,ironic
es_doc_type,notification,Document type for notification indexing in elasticsearch.,others,ironic
es_scroll_time,2m,"This parameter is a time value parameter (for example: es_scroll_time=2m), indicating for how long the nodes that participate in the search will maintain relevant resources in order to continue and support it.",reliability,ironic
es_scroll_size,10000,Elasticsearch splits large requests in batches. This parameter defines maximum size of each batch (for example: es_scroll_size=10000).,performance,ironic
socket_timeout,0.1,Redissentinel provides a timeout option on the connections. This parameter defines that timeout (for example: socket_timeout=0.1).,reliability,ironic
sentinel_service_name,mymaster,Redissentinel uses a service name to identify a master redis service. This parameter defines the name (for example: sentinal_service_name=mymaster).,environment,ironic
filter_error_trace,FALSE,Enable filter traces that contain error/exception to a separated place.,debuggability,ironic
pxe_append_params,nofb nomodeset vga=normal,Additional append parameters for baremetal PXE boot.,others,ironic
default_ephemeral_format,ext4,"Default file system format for ephemeral partition, if one is created.",manageability,ironic
images_path,/var/lib/ironic/images/,"On the ironic-conductor node, directory where images are stored on disk.",environment,ironic
instance_master_path,/var/lib/ironic/master_images,"On the ironic-conductor node, directory where master instance images  are stored on disk. Setting to the empty string disables image caching.",environment,ironic
image_cache_size,20480,"Maximum size (in MiB) of cache for master images, including those in use.",performance,ironic
image_cache_ttl,10080,Maximum TTL (in minutes) for old master images in cache.,reliability,ironic
pxe_config_template,$pybasedir/drivers/modules/pxe_config.template,"On ironic-conductor node, template file for PXE configuration.",environment,ironic
uefi_pxe_config_template,$pybasedir/drivers/modules/pxe_grub_config.template,"On ironic-conductor node, template file for PXE configuration for UEFI boot loader.",environment,ironic
tftp_server,$my_ip,IP address of ironic-conductor node's TFTP server.,environment,ironic
tftp_root,/tftpboot,ironic-conductor node's TFTP root path. The ironic-conductor must have read/write access to this path.,environment,ironic
tftp_master_path,/tftpboot/master_images,"On ironic-conductor node, directory where master TFTP images are  stored on disk. Setting to the empty string disables image caching.",environment,ironic
dir_permission,<None>,The permission that will be applied to the TFTP folders upon  creation. This should be set to the permission such that the tftpserver  has access to read the contents of the configured TFTP folder. This  setting is only required when the operating system's umask is  restrictive such that ironic-conductor is creating files that cannot be  read by the TFTP server. Setting to <None> will result in the  operating system's umask to be utilized for the creation of new tftp  folders. It is recommended that an octal representation is specified.  For example: 0o755,security,ironic
pxe_bootfile_name,pxelinux.0,Bootfile DHCP parameter.,others,ironic
pxe_config_subdir,pxelinux.cfg,Directory in which to create symbolic links which represent the MAC  or IP address of the ports on a node and allow boot loaders to load the  PXE file for the node. This directory name is relative to the PXE or  iPXE folders.,environment,ironic
uefi_pxe_bootfile_name,bootx64.efi,Bootfile DHCP parameter for UEFI boot mode.,environment,ironic
pxe_bootfile_name_by_arch,'',Bootfile DHCP parameter per node architecture. For example: aarch64:grubaa64.efi,others,ironic
ipxe_boot_script,$pybasedir/drivers/modules/boot.ipxe,"On ironic-conductor node, the path to the main iPXE script file.",environment,ironic
ipxe_timeout,0,Timeout value (in seconds) for downloading an image via iPXE. Defaults to 0 (no timeout),reliability,ironic
ip_version,4,The IP version that will be used for PXE booting. Defaults to 4. EXPERIMENTAL,environment,ironic
ipxe_use_swift,FALSE,"Download deploy and rescue images directly from swift using temporary URLs. If set to false (default), images are downloaded to the  ironic-conductor node and served over its local HTTP server. Applicable  only when 'ipxe_enabled' option is set to true.",environment,ironic
auth_url,<None>,Authentication URL,security,ironic
auth_type,<None>,Authentication type to load,security,ironic
cafile,<None>,PEM encoded Certificate Authority to use when verifying HTTPs connections.,security,ironic
certfile,<None>,PEM encoded client certificate cert file,security,ironic
collect_timing,FALSE,Collect per-API call timing information.,debuggability,ironic
default_domain_id,<None>,Optional domain ID to use with v3 and v2 parameters. It will be used  for both the user and project domain in v3 and ignored in v2  authentication.,environment,ironic
default_domain_name,<None>,Optional domain name to use with v3 API and v2 parameters. It will be used for both the user and project domain in v3 and ignored in v2  authentication.,environment,ironic
domain_id,<None>,Domain ID to scope to,environment,ironic
domain_name,<None>,Domain name to scope to,environment,ironic
endpoint_override,<None>,"Always use this endpoint URL for requests for this client. NOTE: The  unversioned endpoint should be specified here; to request a particular  API version, use the version, min-version, and/or max-version options.",environment,ironic
insecure,FALSE,Verify HTTPS connections.,security,ironic
keyfile,<None>,PEM encoded client certificate key file,environment,ironic
max_version,<None>,"The maximum major version of a given API, intended to be used as the  upper bound of a range with min_version. Mutually exclusive with  version.",environment,ironic
min_version,<None>,"The minimum major version of a given API, intended to be used as the  lower bound of a range with max_version. Mutually exclusive with  version. If min_version is given with no max_version it is as if max  version is 'latest'.",environment,ironic
password,<None>,User's password,security,ironic
project_domain_id,<None>,Domain ID containing project,environment,ironic
project_domain_name,<None>,Domain name containing project,environment,ironic
project_id,<None>,Project ID to scope to,environment,ironic
project_name,<None>,Project name to scope to,environment,ironic
region_name,<None>,The default region_name for endpoint URL discovery.,environment,ironic
service_name,<None>,The default service_name for endpoint URL discovery.,environment,ironic
service_type,baremetal,The default service_type for endpoint URL discovery.,environment,ironic
split_loggers,FALSE,Log requests to multiple loggers.,debuggability,ironic
system_scope,<None>,Scope for system operations,environment,ironic
tenant_id,<None>,Tenant ID,environment,ironic
tenant_name,<None>,Tenant Name,environment,ironic
timeout,<None>,Timeout value for http requests,reliability,ironic
trust_id,<None>,Trust ID,security,ironic
user_domain_id,<None>,User's domain id,environment,ironic
user_domain_name,<None>,User's domain name,environment,ironic
user_id,<None>,User id,environment,ironic
username,<None>,Username,environment,ironic
valid_interfaces,"internal,public","List of interfaces, in order of preference, for endpoint URL.",environment,ironic
version,<None>,Minimum Major API version within a given Major API version for  endpoint URL discovery. Mutually exclusive with min_version and  max_version,environment,ironic
power_timeout,10,Seconds to wait for power action to be completed,reliability,ironic
reboot_delay,0,Time (in seconds) to sleep between when rebooting (powering off and on again),reliability,ironic
udp_transport_timeout,1,Response timeout in seconds used for UDP transport. Timeout should be a multiple of 0.5 seconds and is applicable to each retry.,reliability,ironic
udp_transport_retries,5,"Maximum number of UDP request retries, 0 means no retries.",reliability,ironic
ca_file,<None>,CA certificate file to use to verify connecting clients.,security,ironic
cert_file,<None>,Certificate file to use when starting the server securely.,security,ironic
key_file,<None>,Private key file to use when starting the server securely.,security,ironic
version,<None>,"SSL version to use (valid only if SSL enabled). Valid values are  TLSv1 and SSLv23. SSLv2, SSLv3, TLSv1_1, and TLSv1_2 may be available on some distributions.",environment,ironic
ciphers,<None>,Sets the list of available ciphers. value should be a string in the OpenSSL cipher list format.,security,ironic
auth_url,<None>,Authentication URL,security,ironic
auth_type,<None>,Authentication type to load,security,ironic
cafile,<None>,PEM encoded Certificate Authority to use when verifying HTTPs connections.,security,ironic
certfile,<None>,PEM encoded client certificate cert file,security,ironic
collect_timing,FALSE,Collect per-API call timing information.,debuggability,ironic
default_domain_id,<None>,Optional domain ID to use with v3 and v2 parameters. It will be used  for both the user and project domain in v3 and ignored in v2  authentication.,environment,ironic
default_domain_name,<None>,Optional domain name to use with v3 API and v2 parameters. It will be used for both the user and project domain in v3 and ignored in v2  authentication.,environment,ironic
domain_id,<None>,Domain ID to scope to,environment,ironic
domain_name,<None>,Domain name to scope to,environment,ironic
endpoint_override,<None>,"Always use this endpoint URL for requests for this client. NOTE: The  unversioned endpoint should be specified here; to request a particular  API version, use the version, min-version, and/or max-version options.",environment,ironic
insecure,FALSE,Verify HTTPS connections.,security,ironic
keyfile,<None>,PEM encoded client certificate key file,environment,ironic
max_version,<None>,"The maximum major version of a given API, intended to be used as the  upper bound of a range with min_version. Mutually exclusive with  version.",environment,ironic
min_version,<None>,"The minimum major version of a given API, intended to be used as the  lower bound of a range with max_version. Mutually exclusive with  version. If min_version is given with no max_version it is as if max  version is 'latest'.",environment,ironic
password,<None>,User's password,security,ironic
project_domain_id,<None>,Domain ID containing project,environment,ironic
project_domain_name,<None>,Domain name containing project,environment,ironic
project_id,<None>,Project ID to scope to,environment,ironic
project_name,<None>,Project name to scope to,environment,ironic
region_name,<None>,The default region_name for endpoint URL discovery.,environment,ironic
service_name,<None>,The default service_name for endpoint URL discovery.,environment,ironic
service_type,object-store,The default service_type for endpoint URL discovery.,environment,ironic
split_loggers,FALSE,Log requests to multiple loggers.,debuggability,ironic
swift_max_retries,2,"Maximum number of times to retry a Swift request, before failing.",reliability,ironic
system_scope,<None>,Scope for system operations,environment,ironic
tenant_id,<None>,Tenant ID,environment,ironic
tenant_name,<None>,Tenant Name,environment,ironic
timeout,<None>,Timeout value for http requests,reliability,ironic
trust_id,<None>,Trust ID,security,ironic
user_domain_id,<None>,User's domain id,environment,ironic
user_domain_name,<None>,User's domain name,environment,ironic
user_id,<None>,User id,environment,ironic
username,<None>,Username,environment,ironic
valid_interfaces,"internal,public","List of interfaces, in order of preference, for endpoint URL.",environment,ironic
version,<None>,Minimum Major API version within a given Major API version for  endpoint URL discovery. Mutually exclusive with min_version and  max_version,environment,ironic
manager_ip,<None>,IP address of the XClarity Controller. Configuration here is  deprecated and will be removed in the Stein release. Please update the  driver_info field to use 'xclarity_manager_ip' instead,environment,ironic
password,<None>,Password for XClarity Controller username. Configuration here is  deprecated and will be removed in the Stein release. Please update the  driver_info field to use 'xclarity_password' instead,security,ironic
port,443,Port to be used for XClarity Controller connection.,environment,ironic
