name,value,description,label,software
yarn.nodemanager.amrmproxy.ha.enable,FALSE,Whether AMRMProxy HA is enabled.,manageability,yarn
yarn.nodemanager.distributed-scheduling.enabled,FALSE,Setting that controls whether distributed scheduling is enabled.,performance,yarn
yarn.resourcemanager.opportunistic-container-allocation.enabled,FALSE,Setting that controls whether opportunistic container allocation is enabled.,manageability,yarn
yarn.resourcemanager.opportunistic-container-allocation.nodes-used,10,Number of nodes to be used by the Opportunistic Container Allocator for dispatching containers during container allocation.,performance,yarn
yarn.resourcemanager.nm-container-queuing.sorting-nodes-interval-ms,1000,Frequency for computing least loaded NMs.,performance,yarn
yarn.resourcemanager.nm-container-queuing.queue-limit-stdev,1.0f,Value of standard deviation used for calculation of queue limit thresholds.,others,yarn
yarn.resourcemanager.nm-container-queuing.min-queue-length,5,Min length of container queue at NodeManager.,others,yarn
yarn.resourcemanager.nm-container-queuing.max-queue-length,15,Max length of container queue at NodeManager.,reliability,yarn
yarn.resourcemanager.nm-container-queuing.min-queue-wait-time-ms,10,Min queue wait time for a container at a NodeManager.,reliability,yarn
yarn.resourcemanager.nm-container-queuing.max-queue-wait-time-ms,100,Max queue wait time for a container queue at a NodeManager.,reliability,yarn
yarn.nodemanager.opportunistic-containers-use-pause-for-preemption,FALSE,Use container pause as the preemption policy over kill in the container queue at a NodeManager.,others,yarn
yarn.nodemanager.container.stderr.pattern,"{*stderr*,*STDERR*}","Error filename pattern, to identify the file in the container's Log directory which contain the container's error log. As error file redirection is done by client/AM and yarn will not be aware of the error file name. YARN uses this pattern to identify the error file and tail the error log as diagnostics when the container execution returns non zero value. Filename patterns are case sensitive and should match the specifications of FileSystem.globStatus(Path) api. If multiple filenames matches the pattern, first file matching the pattern will be picked.",debuggability,yarn
yarn.nodemanager.container.stderr.tail.bytes ,4096,"Size of the container error file which needs to be tailed, in bytes.",others,yarn
yarn.resourcemanager.webapp.rest-csrf.enabled,FALSE,Enable the CSRF filter for the RM web app,security,yarn
yarn.nodemanager.webapp.rest-csrf.enabled,FALSE,Enable the CSRF filter for the NM web app,manageability,yarn
yarn.nodemanager.webapp.rest-csrf.custom-header,X-XSRF-Header,Optional parameter that indicates the custom header name to use for CSRF protection.,security,yarn
yarn.nodemanager.webapp.rest-csrf.methods-to-ignore,"GET,OPTIONS,HEAD",Optional parameter that indicates the list of HTTP methods that do not require CSRF protection,security,yarn
yarn.nodemanager.disk-validator,basic,The name of disk validator.,environment,yarn
yarn.timeline-service.webapp.rest-csrf.enabled,FALSE,Enable the CSRF filter for the timeline service web app,security,yarn
yarn.timeline-service.webapp.rest-csrf.custom-header,X-XSRF-Header,Optional parameter that indicates the custom header name to use for CSRF protection.,security,yarn
yarn.timeline-service.webapp.rest-csrf.methods-to-ignore,"GET,OPTIONS,HEAD",Optional parameter that indicates the list of HTTP methods that do not require CSRF protection,security,yarn
yarn.webapp.xfs-filter.enabled,TRUE,Enable the XFS filter for YARN,manageability,yarn
yarn.resourcemanager.node-removal-untracked.timeout-ms,60000,"The least amount of time(msec.) an inactive (decommissioned or shutdown) node can stay in the nodes list of the resourcemanager after being declared untracked. A node is marked untracked if and only if it is absent from both include and exclude nodemanager lists on the RM. All inactive nodes are checked twice per timeout interval or every 10 minutes, whichever is lesser, and marked appropriately. The same is done when refreshNodes command (graceful or otherwise) is invoked.",reliability,yarn
yarn.resourcemanager.application-timeouts.monitor.interval-ms,3000,The RMAppLifetimeMonitor Service uses this value as monitor interval,reliability,yarn
yarn.app.attempt.diagnostics.limit.kc,64,"Defines the limit of the diagnostics message of an application attempt, in kilo characters (character count * 1024). When using ZooKeeper to store application state behavior, it's important to limit the size of the diagnostic messages to prevent YARN from overwhelming ZooKeeper. In cases where yarn.resourcemanager.state-store.max-completed-applications is set to a large number, it may be desirable to reduce the value of this property to limit the total data stored.",reliability,yarn
yarn.timeline-service.http-cross-origin.enabled,FALSE,"Flag to enable cross-origin (CORS) support for timeline service v1.x or Timeline Reader in timeline service v2. For timeline service v2, also add org.apache.hadoop.security.HttpCrossOriginFilterInitializer to the configuration hadoop.http.filter.initializers in core-site.xml.",others,yarn
yarn.scheduler.queue-placement-rules,user-group,"Comma-separated list of PlacementRules to determine how applications submitted by certain users get mapped to certain queues. Default is user-group, which corresponds to UserGroupMappingPlacementRule.",manageability,yarn
yarn.timeline-service.entity-group-fs-store.with-user-dir,FALSE,It is TimelineClient 1.5 configuration whether to store active application's timeline data with in user directory i.e ${yarn.timeline-service.entity-group-fs-store.active-dir}/${user.name},environment,yarn
yarn.router.clientrm.interceptor-class.pipeline,org.apache.hadoop.yarn.server.router.clientrm.DefaultClientRequestInterceptor,The comma separated list of class names that implement the RequestInterceptor interface. This is used by the RouterClientRMService to create the request processing pipeline for users.,others,yarn
yarn.router.pipeline.cache-max-size,25,Size of LRU cache for Router ClientRM Service and RMAdmin Service.,performance,yarn
yarn.router.bind-host,,"The actual address the server will bind to. If this optional address is set, the RPC and webapp servers will bind to this address and the port specified in yarn.router.address and yarn.router.webapp.address, respectively. This is most useful for making Router listen to all interfaces by setting to 0.0.0.0.",environment,yarn
yarn.router.webapp.interceptor-class.pipeline,org.apache.hadoop.yarn.server.router.webapp.DefaultRequestInterceptorREST,The comma separated list of class names that implement the RequestInterceptor interface. This is used by the RouterWebServices to create the request processing pipeline for users.,others,yarn
yarn.router.webapp.address,0.0.0.0:8089,"The http address of the Router web application. If only a host is provided as the value, the webapp will be served on a random port.",environment,yarn
yarn.router.webapp.https.address,0.0.0.0:8091,"The https address of the Router web application. If only a host is provided as the value, the webapp will be served on a random port.",environment,yarn
yarn.resourcemanager.display.per-user-apps,FALSE,Flag to enable display of applications per user as an admin configuration.,security,yarn
yarn.scheduler.configuration.leveldb-store.path,${hadoop.tmp.dir}/yarn/system/confstore,"The storage path for LevelDB implementation of configuration store, when yarn.scheduler.configuration.store.class is configured to be ""leveldb"".",environment,yarn
yarn.scheduler.configuration.leveldb-store.compaction-interval-secs,86400,"The compaction interval for LevelDB configuration store in secs, when yarn.scheduler.configuration.store.class is configured to be ""leveldb"". Default is one day.",performance,yarn
yarn.scheduler.configuration.store.max-logs,1000,"The max number of configuration change log entries kept in config store, when yarn.scheduler.configuration.store.class is configured to be ""leveldb"" or ""zk"". Default is 1000 for either.",reliability,yarn
yarn.scheduler.configuration.zk-store.parent-path,/confstore,ZK root node path for configuration store when using zookeeper-based configuration store.,environment,yarn
